"lhs","op","rhs","block","group","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"riBMI","~~","riBMI",1,1,17.6309528442999,0.857513599025528,20.5605518843498,0,15.9502570739566,19.3116486146433,0.889324259109585,0.889324259109585,0.889324259109585
"riPA","~~","riPA",1,1,4.44021831379785,0.476590404203264,9.31663389492859,0,3.50611828618207,5.37431834141363,0.971807019307546,0.971807019307546,0.971807019307546
"riFV","~~","riFV",1,1,0.217336727270902,0.00801255287142713,27.1245295673402,0,0.201632412218682,0.233041042323122,0.82913003366436,0.82913003366436,0.82913003366436
"riBMI","~~","riPA",1,1,-0.67653764373259,0.199108271597838,-3.39783796174511,0.00067920636886476,-1.06678268508837,-0.286292602376807,-0.0764631019896704,-0.0764631019896704,-0.0764631019896704
"riBMI","~~","riFV",1,1,-0.176399568758666,0.049871166647053,-3.53710531793004,0.000404538315881053,-0.274145259253885,-0.0786538782634474,-0.0901141655730214,-0.0901141655730214,-0.0901141655730214
"riPA","~~","riFV",1,1,0.143290158133309,0.0280658968283634,5.10549009032557,3.29938279586273e-07,0.0882820111559,0.198298305110718,0.145863838654034,0.145863838654034,0.145863838654034
"wBMI1","~~","wBMI1",1,1,2.57570299776689,0.327132928959005,7.87356688904183,3.5527136788005e-15,1.93453423885014,3.21687175668364,1,1,1
"wPA1","~~","wPA1",1,1,4.79472196677733,0.761030382159068,6.30030295659754,2.97064373100397e-10,3.30312982660481,6.28631410694986,1,1,1
"wFV1","~~","wFV1",1,1,0.238512872603894,0.0119431262842074,19.9707234879767,0,0.215104775224033,0.261920969983754,1,1,1
"wBMI2","~~","wBMI2",1,1,1.24108645116128,0.106172848330279,11.689301649896,0,1.0329914922979,1.44918141002466,0.64552668723973,0.64552668723973,0.64552668723973
"wPA2","~~","wPA2",1,1,4.01693352890802,0.85703530862704,4.68701054492504,2.77224688338684e-06,2.33717519051986,5.69669186729619,0.859508562755574,0.859508562755574,0.859508562755574
"wFV2","~~","wFV2",1,1,0.229056711490814,0.0101706713623015,22.5212971033391,0,0.20912256192211,0.248990861059518,0.981471443674929,0.981471443674929,0.981471443674929
"wBMI3","~~","wBMI3",1,1,1.13564343594434,0.109042547315393,10.4146818274487,0,0.921923970423666,1.34936290146502,0.731811634912836,0.731811634912836,0.731811634912836
"wPA3","~~","wPA3",1,1,3.74464788966728,0.458904480460213,8.15997238883341,4.44089209850063e-16,2.8452116356212,4.64408414371336,0.8612757584352,0.8612757584352,0.8612757584352
"wFV3","~~","wFV3",1,1,0.233726294776213,0.0100750599640616,23.1985016079238,0,0.213979540104571,0.253473049447855,0.982437636932798,0.982437636932798,0.982437636932798
"wBMI4","~~","wBMI4",1,1,0.900626874738121,0.10985667292051,8.19819907881057,2.22044604925031e-16,0.685311752352524,1.11594199712372,0.862071643128103,0.862071643128103,0.862071643128103
"wPA4","~~","wPA4",1,1,5.62643556242872,1.10140225548292,5.10842930856518,3.24847895916136e-07,3.46772680919102,7.78514431566642,0.968858015370876,0.968858015370876,0.968858015370876
"wFV4","~~","wFV4",1,1,0.217399217335721,0.0103048583330705,21.0967691460678,0,0.197202066137115,0.237596368534327,0.993654969328008,0.993654969328008,0.993654969328008
"wBMI5","~~","wBMI5",1,1,1.15045446945632,0.200912814607687,5.72613783597008,1.0274275430433e-08,0.756672588792677,1.54423635011995,0.954188688432729,0.954188688432729,0.954188688432729
"wPA5","~~","wPA5",1,1,4.50626094491895,0.661140915009064,6.81588575539479,9.36850597099692e-12,3.21044856279533,5.80207332704258,0.993251562540438,0.993251562540438,0.993251562540438
"wFV5","~~","wFV5",1,1,0.212860925011105,0.00984803733882154,21.6145530005248,0,0.193559126508609,0.232162723513601,0.984253283460506,0.984253283460506,0.984253283460506
"wBMI6","~~","wBMI6",1,1,1.17682698571842,0.112011915198056,10.5062660846178,0,0.957287666090874,1.39636630534596,0.887076159822684,0.887076159822684,0.887076159822684
"wPA6","~~","wPA6",1,1,4.78769199980971,0.666326470582482,7.18520456740142,6.71018796083445e-13,3.48171611552236,6.09366788409707,0.937542379306699,0.937542379306699,0.937542379306699
"wFV6","~~","wFV6",1,1,0.231253772783096,0.0107313880114241,21.549288175669,0,0.21022063877658,0.252286906789612,0.996960004849149,0.996960004849149,0.996960004849149
"wBMI7","~~","wBMI7",1,1,1.30822522566796,0.105080607065006,12.4497303756407,0,1.10227102034695,1.51417943098898,0.792872781740608,0.792872781740608,0.792872781740608
"wPA7","~~","wPA7",1,1,5.79750238616981,0.837201222908917,6.92486134459523,4.36406466519657e-12,4.15661814145545,7.43838663088418,0.991696206728591,0.991696206728591,0.991696206728591
"wFV7","~~","wFV7",1,1,0.231113366444084,0.0111163101326241,20.7904748686178,0,0.209325798943163,0.252900933945005,0.975643395422124,0.975643395422124,0.975643395422124
"BMI1","~~","BMI1",1,1,0,0,NA,NA,0,0,0,0,0
"PA1","~~","PA1",1,1,0,0,NA,NA,0,0,0,0,0
"FV1","~~","FV1",1,1,0,0,NA,NA,0,0,0,0,0
"BMI2","~~","BMI2",1,1,0,0,NA,NA,0,0,0,0,0
"PA2","~~","PA2",1,1,0,0,NA,NA,0,0,0,0,0
"FV2","~~","FV2",1,1,0,0,NA,NA,0,0,0,0,0
"BMI3","~~","BMI3",1,1,0,0,NA,NA,0,0,0,0,0
"PA3","~~","PA3",1,1,0,0,NA,NA,0,0,0,0,0
"FV3","~~","FV3",1,1,0,0,NA,NA,0,0,0,0,0
"BMI4","~~","BMI4",1,1,0,0,NA,NA,0,0,0,0,0
"PA4","~~","PA4",1,1,0,0,NA,NA,0,0,0,0,0
"FV4","~~","FV4",1,1,0,0,NA,NA,0,0,0,0,0
"BMI5","~~","BMI5",1,1,0,0,NA,NA,0,0,0,0,0
"PA5","~~","PA5",1,1,0,0,NA,NA,0,0,0,0,0
