"lhs","op","rhs","block","group","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all"
"wPA7","~","wBMI6",1,1,-0.0666516210265457,0.0852633306191135,-0.781714959321615,0.434382108205844,-0.233764678241939,0.100461436188848,-0.0303902436274698,-0.0303902436274698
"wPA7","~","wPA6",1,1,0.0797816517513781,0.0822950807198473,0.969458332788741,0.332316559951759,-0.0815137425643392,0.241077046067095,0.0747504933102087,0.0747504933102087
"wPA7","~","wFV6",1,1,0.0102848783682029,0.175913973314879,0.0584653860884229,0.95337793321257,-0.3345001737063,0.355069930442706,0.00205221837574268,0.00205221837574268
"wFV7","~","wBMI6",1,1,-0.0163202815617363,0.0180679968592122,-0.903270112835737,0.366382554573037,-0.051732904678575,0.0190923415551023,-0.036899354725666,-0.036899354725666
"wFV7","~","wPA6",1,1,0.0132695766920847,0.00685791445674267,1.93492887317049,0.0529990244975354,-0.000171688652187495,0.0267108420363569,0.0616503813857266,0.0616503813857266
"wFV7","~","wFV6",1,1,0.14504129773104,0.0393377791001941,3.6870738778012,0.000226847515133244,0.067940667462867,0.222141927999213,0.143510523288665,0.143510523288665
"wBMI1","~~","wPA1",1,1,-0.197216747048146,0.143013629457323,-1.37900665689348,0.167892701443886,-0.477518310082854,0.0830848159865632,-0.0545868850266606,-0.0545868850266606
"wBMI1","~~","wFV1",1,1,0.042734484338737,0.031144272117042,1.37214586933155,0.170018032559786,-0.0183071673353803,0.103776136012854,0.0529704523328703,0.0529704523328703
"wPA1","~~","wFV1",1,1,0.0364004452560533,0.0411686982259719,0.88417770841949,0.376600289795381,-0.0442887205572496,0.117089611069356,0.0338349307995263,0.0338349307995263
"wBMI2","~~","wPA2",1,1,-0.0635473175608691,0.0819903011349131,-0.775058960404396,0.438304820518559,-0.224245354866892,0.0971507197451541,-0.0282040690668435,-0.0282040690668435
"wBMI2","~~","wFV2",1,1,0.00608105903044774,0.0186066608706755,0.326821619027389,0.743802806948074,-0.0303873261486269,0.0425494442095224,0.0112957161968011,0.0112957161968011
"wPA2","~~","wFV2",1,1,0.0035862962705133,0.0288762882755891,0.124195195597386,0.90116072614692,-0.0530101887568375,0.0601827812978641,0.00373081607538373,0.00373081607538373
"wBMI3","~~","wPA3",1,1,-0.209940900981243,0.0740212754105588,-2.83622377237905,0.00456504485108677,-0.355019934875659,-0.064861867086828,-0.100542293350537,-0.100542293350537
"wBMI3","~~","wFV3",1,1,0.0328932932058441,0.0168382971687186,1.95348097709973,0.0507626292181156,-0.000109162805827179,0.0658957492175153,0.0629882089479132,0.0629882089479132
