"lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all"
"wFV7","~~","wFV7",0.223663047212428,0.00645301736103706,34.6602270997893,0,0.211015365593183,0.236310728831672,0.968873066752197,0.968873066752197
"BMI1","~~","BMI1",0,0,NA,NA,0,0,0,0
"PA1","~~","PA1",0,0,NA,NA,0,0,0,0
"FV1","~~","FV1",0,0,NA,NA,0,0,0,0
"BMI2","~~","BMI2",0,0,NA,NA,0,0,0,0
"PA2","~~","PA2",0,0,NA,NA,0,0,0,0
"FV2","~~","FV2",0,0,NA,NA,0,0,0,0
"BMI3","~~","BMI3",0,0,NA,NA,0,0,0,0
"PA3","~~","PA3",0,0,NA,NA,0,0,0,0
"FV3","~~","FV3",0,0,NA,NA,0,0,0,0
"BMI4","~~","BMI4",0,0,NA,NA,0,0,0,0
"PA4","~~","PA4",0,0,NA,NA,0,0,0,0
"FV4","~~","FV4",0,0,NA,NA,0,0,0,0
"BMI5","~~","BMI5",0,0,NA,NA,0,0,0,0
"PA5","~~","PA5",0,0,NA,NA,0,0,0,0
"FV5","~~","FV5",0,0,NA,NA,0,0,0,0
"BMI6","~~","BMI6",0,0,NA,NA,0,0,0,0
"PA6","~~","PA6",0,0,NA,NA,0,0,0,0
"FV6","~~","FV6",0,0,NA,NA,0,0,0,0
"BMI7","~~","BMI7",0,0,NA,NA,0,0,0,0
"PA7","~~","PA7",0,0,NA,NA,0,0,0,0
"FV7","~~","FV7",0,0,NA,NA,0,0,0,0
"BMI1","~1","",25.0723279248686,0.0585626477778047,428.128318582806,0,24.9575472443848,25.1871086053524,25.0723279248686,5.65818654980025
"BMI2","~1","",25.2025454873889,0.0583775596042096,431.716324873087,0,25.0881275730593,25.3169634017185,25.2025454873889,5.75496068193744
"BMI3","~1","",25.351828136404,0.0579215244131214,437.69269530242,0,25.2383040346247,25.4653522381834,25.351828136404,5.85494605924172
"BMI4","~1","",25.4702776629696,0.0584385995486204,435.846818022711,0,25.3557401125474,25.5848152133919,25.4702776629696,5.90901700051726
"BMI5","~1","",25.4738995688063,0.0577824377012338,440.858859235396,0,25.3606480719729,25.5871510656396,25.4738995688063,5.90640833855739
"BMI6","~1","",25.52247975084,0.0583657195361643,437.285446897059,0,25.4080850426174,25.6368744590627,25.52247975084,5.8502960620405
"BMI7","~1","",25.5639235420721,0.05900499790847,433.250138941238,0,25.4482758712636,25.6795712128805,25.5639235420721,5.81703364854763
"PA1","~1","",2.2731687618825,0.0444702203794737,51.1166516038167,0,2.18600873155418,2.36032879221083,2.2731687618825,0.757161885104353
"PA2","~1","",2.11883231180275,0.0448556297093978,47.2367086479411,0,2.03091689306847,2.20674773053704,2.11883231180275,0.685741404216638
"PA3","~1","",2.12463227462033,0.0414505688709732,51.2570112423272,0,2.04339065249453,2.20587389674614,2.12463227462033,0.715188497162714
"PA4","~1","",2.11466341963875,0.0438053752324414,48.2740624505066,0,2.0288064618539,2.2005203774236,2.11466341963875,0.687929258972542
"PA5","~1","",1.98003923089784,0.0435807067688926,45.433848546742,0,1.89462261521001,2.06545584658567,1.98003923089784,0.650738750704404
"PA6","~1","",1.90651707525872,0.0406131563961727,46.9433367025465,0,1.82691675142373,1.98611739909371,1.90651707525872,0.6549084529642
"PA7","~1","",1.93625659711166,0.0425172290174211,45.5405171470204,0,1.85292435951507,2.01958883470825,1.93625659711166,0.646165539435059
